Rank,Artist,Album,Date,Genres,RYM Rating,Ratings,RYM Ratings,Reviews
1,Wiener Philharmoniker / Wilhelm Furtwängler,Symphony No. 5,1955,"Symphony, Romanticism",4.01,NA,NA,NA
2,Clifford Brown and Max Roach,Study in Brown,1955,"Hard Bop, Bebop",3.87,1382,,18
3,The Vienna Philharmonic Orchestra / Cast and Chorus of the Vienna State Opera / Erich Kleiber / Hilde Gueden / Lisa Della Casa / Suzanne Danco / Cesare Siepi / Alfred Poell / Fernando CorenaWiener PhilharmonikerWiener StaatsopernchorErich KleiberHilde GüdenLisa Della CasaSuzanne DancoCesare SiepiAlfred PoellFernando Corena,Le nozze di Figaro,1955,"Classical Period, Opera buffa",3.89,92,,1
4,Boston Symphony Orchestra / Charles Munch,Daphnis and Chloe,1955,"Impressionism, Orchestral",3.9,90,,1
5,Sarah Vaughan,Sarah Vaughan,Apr-55,"Vocal Jazz, Standards",3.79,1701,,33
6,Hans Hotter / Gerald Moore,Winterreise,1955,"Lieder, Romanticism",3.77,198,,2
7,Louis Armstrong and His All-Stars,Satch Plays Fats: A Tribute to the Immortal Fats Waller,1955,Vocal Jazz,3.76,481,,12
8,Helen Merrill,Helen Merrill,1955,"Vocal Jazz, Standards",3.73,820,,16
9,Kenny Dorham,Afro-Cuban,Oct-55,"Hard Bop, Afro-Cuban Jazz",3.73,990,,13
10,Brown and Roach,Brown and Roach Incorporated,1955,Hard Bop,3.73,462,,15
11,Duke Ellington,Ellington '55,1955,"Big Band, Swing",3.84,63,,2
12,Frank Sinatra,In the Wee Small Hours,25-Apr-55,"Standards, Vocal Jazz",3.65,5210,,140
13,Georges Brassens,№ 3 [Les sabots d'Hélène],Apr-55,Chanson à texte,3.72,244,,4
14,Julie London,Julie Is Her Name,Dec-55,"Vocal Jazz, Standards",3.69,1224,,24
15,Heitor dos Prazeres e Sua Gente,Macumba,1955,Candomblé Music,3.82,NA,NA,NA
16,Thelonious Monk,Thelonious Monk Plays the Music of Duke Ellington,Dec-55,Bebop,3.69,522,,14
17,Boston Symphony Orchestra / Charles Munch,Symphonie fantastique,1955,"Romanticism, Symphony",3.7,95,,2
18,Erroll Garner,Contrasts,Jan-55,"Bebop, Stride",3.71,170,,5
19,The English Opera Group Orchestra / Benjamin Britten / Jennifer Vyvyan / Joan Cross / Peter Pears / Arda Mandikian / Olive Dyer / David HemmingsEnglish Opera GroupBenjamin BrittenJennifer VyvyanJoan CrossPeter PearsArda MandikianOlive DyerDavid Hemmings,The Turn of the Screw,Apr-55,"Opera, Modern Classical",3.82,32,,1
20,Dinah Washington,For Those in Love,Jul-55,Vocal Jazz,3.7,140,,2
21,J.J. Johnson,"The Eminent Jay Jay Johnson, Vol. 2",1955,"Bebop, Jazz",3.68,161,,2
22,Orchestra del Teatro alla Scala / Coro del Teatro alla Scala / Herbert von Karajan / Maria Callas,Madama Butterfly,1955,"Romanticism, Opera",3.67,70,,1
23,Diz and GetzDizzy GillespieStan Getz,Diz and Getz,1955,Bebop,3.66,280,,7
24,Lotte Lenya,Lotte Lenya singt Kurt Weill,1955,"Cabaret, Show Tunes",3.64,259,,4
25,Billie Holiday,Music for Torching With Billie Holiday,1955,"Vocal Jazz, Standards",3.67,122,,3
26,Lee Konitz With Warne MarshLee KonitzWarne Marsh,Lee Konitz With Warne Marsh,1955,"Cool Jazz, Bebop",3.67,148,,3
27,Chicago Symphony / Reiner / HeifetzChicago Symphony OrchestraFritz ReinerJascha Heifetz,Violin Concerto,1955,"Romanticism, Concerto",3.76,NA,NA,NA
28,Ismael Silva,O samba na voz do sambista,1955,Samba,3.82,NA,NA,NA
29,Sonny Rollins Quartet,Sonny Rollins and Thelonious Monk,1955,Hard Bop,3.74,NA,NA,NA
30,Ethel Ennis,Lullabies for Losers,1955,Vocal Jazz,3.74,57,,1
31,Atahualpa Yupanqui,Camino del indio,Mar-55,Nueva canción latinoamericana,3.72,NA,NA,NA
32,Bing Crosby,Merry Christmas,1955,"Christmas Music, Traditional Pop, Standards",3.58,541,,12
33,Mahalia Jackson,The World's Greatest Gospel Singer,14-Mar-55,Traditional Black Gospel,3.65,118,,5
34,Horace Silver Quintet,"Horace Silver Quintet, Vol. 2",Dec-55,"Hard Bop, Soul Jazz",3.79,NA,NA,NA
35,Thelonious Monk,Thelonious Monk Plays,1955,Hard Bop,3.81,NA,NA,NA
36,Cascatinha e Inhana,Cascatinha e Inhana Cantando pra Você,1955,Sertanejo de raiz,4,NA,NA,NA
37,Roy and DizRoy EldridgeDizzy Gillespie,Roy and Diz #2,1955,"Bebop, Cool Jazz",3.67,82,,5
38,Gene Krupa & Buddy Rich,Krupa and Rich,1955,"Bebop, Cool Jazz, Hard Bop",3.62,247,,8
39,Stan Getz,West Coast Jazz,1955,"Bebop, Cool Jazz",3.62,227,,2
40,Symphonie-Orchester Berlin / Ferenc Fricsay / Maria Stader / Oralia Domínguez / Gabor Carelli / Ivan SardiDeutsches Symphonie-Orchester BerlinFerenc FricsayMaria StaderOralia DomínguezIvan Sardi,Requiem,1955,"Romanticism, Choral",3.91,NA,NA,NA
41,Milt Jackson,Milt Jackson Quartet,1955,Cool Jazz,3.64,107,,1
42,Sarah Vaughan,Sarah Vaughan in Hi-Fi,1955,Vocal Jazz,3.62,188,,8
43,Sarah Vaughan,After Hours With Sarah Vaughan,1955,Vocal Jazz,3.65,94,,1
44,Chet Baker,"Sings and Plays With Bud Shank, Russ Freeman and Strings",1955,"Vocal Jazz, Standards",3.59,191,,2
45,Hamp and GetzLionel HamptonStan Getz,Hamp and Getz,Dec-55,Bebop,3.61,170,,3
46,New York Philharmonic / Bruno Walter,Symphony No. 1 in D major,1955,"Romanticism, Symphony",3.8,NA,NA,NA
47,Various Artists,Folk Music of Greece,1955,"Dimotika, Greek Folk Music",3.81,NA,NA,NA
48,"Max Roach, Herb Geller, Walter Benton, Joe Maini & Clifford Brown",Best Coast Jazz,1955,"Jazz, Hard Bop",3.68,62,,3
49,"Art Tatum, Roy Eldridge, Alvin Stoller & John Simmons",The Art Tatum - Roy Eldridge - Alvin Stoller - John Simmons Quartet,Dec-55,"Jazz, Bebop",3.73,38,,1
50,Chico Hamilton Quintet,Chico Hamilton Quintet Featuring Buddy Collette,1955,"Cool Jazz, Chamber Jazz",3.63,106,,3
51,Edmundo P. Zaldivar (h),Carnavalitos,1955,Carnavalito,3.71,47,,1
52,Anita O'Day,Anita,1955,Vocal Jazz,3.62,95,,3
53,The TrioHank JonesWendell MarshallKenny Clarke,The Trio,1955,"Jazz, Bebop, Cool Jazz",3.74,NA,NA,NA
54,Beverly Kenney,Sings for Johnny Smith,1955,"Vocal Jazz, Standards",3.69,51,,1
55,Hans Hotter / Gerald Moore,Schwanengesang,1955,"Romanticism, Lieder",3.8,NA,NA,NA
56,Dexter Gordon,Dexter Blows Hot and Cool,Dec-55,Bebop,3.63,108,,3
57,Astor Piazzolla su bandoneón y sus cuerdas,Sinfonia de Tango,1955,Tango Nuevo,3.68,58,,2
58,Peggy Seeger,Folk Songs of Courting and Complaint,1955,American Folk Music,3.61,65,,1
59,The Dave Brubeck Quartet,Brubeck Time,14-Feb-55,"Cool Jazz, Bebop",3.59,202,,4
60,Herbie Nichols,"The Prophetic Herbie Nichols, Vol. 2",1955,Bebop,3.6,92,,3
61,"Nat ""King"" Cole",The Piano Style of Nat King Cole,1955,"Jazz, Swing, Standards",3.66,58,,2
62,Donald Byrd,Byrd's Word,1955,"Hard Bop, Jazz",3.7,49,,1
63,Roy and DizRoy EldridgeDizzy Gillespie,Roy and Diz,Mar-55,Bebop,3.85,NA,NA,NA
64,Horace Silver Quintet,Horace Silver Quintet,May-55,Hard Bop,3.65,51,,1
65,Art Farmer Quintet,Art Farmer Quintet,1955,"Hard Bop, Jazz",3.69,41,,1
66,Cannonball Adderley,Presenting Cannonball,1955,Hard Bop,3.59,NA,NA,NA
67,Art Tatum,"The Tatum Group Masterpieces, Vol. 5",1955,Swing,3.75,NA,NA,NA
68,Hampton Hawes,Trio Vol. 1,1955,Bebop,3.6,79,,2
69,Sonny Rollins Quintet,Sonny Rollins Quintet,1955,Bebop,3.88,22,,1
70,Lennie Niehaus,"Lennie Niehaus, Vol. 4: The Quintets and Strings",1955,Cool Jazz,3.84,NA,NA,NA
71,The Modern Jazz Quartet,Concorde,1955,"Cool Jazz, Jazz",3.51,218,,3
72,Philharmonia Orchestra / Philharmonia Chorus / Herbert von Karajan / Elisabeth Schwarzkopf / Lisa Otto / Nan Merriman / Léopold Simoneau / Rolando Panerai / Sesto Bruscantini,Cosi fan tutte,1955,"Classical Period, Opera buffa",3.64,36,,2
73,Jesse Fuller,Frisco Bound! with Jesse Fuller,1955,"Blues, Country Blues",3.66,NA,NA,NA
74,Webb Pierce,Webb Pierce,27-Oct-55,"Honky Tonk, Traditional Country",3.65,31,,1
75,Barney Kessel,"Barney Kessel, Vol. 3: To Swing or Not to Swing",1955,"Cool Jazz, Jazz",3.58,70,,1
76,Herbie Nichols,"The Prophetic Herbie Nichols, Vol. 1",1955,Bebop,3.52,106,,3
